Word,Brothers_Karamazov,Murder_of_Roger_Ackroyd
"project",89,0
"gutenberg",41,0
"ebook",15,0
"brothers",55,0
"karamazov",179,0
"fyodor",305,0
"use",77,14
"anyone",5,35
"anywhere",12,3
"united",24,1
"states",20,2
"parts",19,3
"world",191,16
"cost",12,2
"almost",306,25
"whatsoever",5,1
"may",353,66
"copy",16,3
"give",321,39
"away",449,57
"terms",33,1
"license",14,0
"included",9,1
"online",5,0
"http",12,0
"//www",12,0
"located",7,0
"check",13,0
"laws",15,0
"country",21,12
"using",10,4
"author",11,0
"release",7,4
"date",6,4
"language",17,2
"english",5,5
"character",74,2
"set",119,15
"*",18,0
"start",13,6
"translated",5,0
"russian",99,3
"press",9,6
"new",158,18
"contents",1,5
"part",109,19
"book",62,4
"history",17,4
"family",77,14
"chapter",195,25
"pavlovitch",302,0
"ii",30,1
"gets",7,3
"rid",6,2
"eldest",7,1
"son",132,11
"iii",30,0
"second",79,11
"marriage",27,12
"iv",26,0
"third",43,5
"alyosha",1245,0
"v",23,1
"elders",21,0
"unfortunate",9,4
"gathering",8,0
"arrive",6,5
"monastery",125,0
"old",491,40
"buffoon",26,0
"peasant",93,0
"women",89,9
"faith",96,2
"lady",120,24
"little",476,160
"vi",20,0
"man",909,175
"alive",41,19
"vii",20,0
"young",247,49
"bent",21,4
"career",23,0
"viii",14,0
"scandalous",6,0
"scene",52,9
"sensualists",5,0
"servants",42,21
"quarters",7,2
"lizaveta",21,0
"confession",36,5
"passionate",15,0
"heart",378,10
"verse",12,0
"anecdote",18,0
"``",2,59
"''",3,15
"smerdyakov",383,0
"brandy",31,1
"ix",10,0
"x",10,1
"together",93,21
"xi",7,0
"another",284,29
"reputation",15,3
"ruined",27,2
"father",817,4
"ferapont",36,0
"meeting",40,5
"schoolboys",13,0
"hohlakovs",5,0
"laceration",12,0
"drawingroom",20,1
"cottage",19,0
"open",138,26
"air",66,13
"engagement",5,9
"guitar",8,0
"make",324,73
"friends",64,7
"rebellion",7,0
"grand",17,2
"inquisitor",12,0
"obscure",13,5
"one",1603,208
"always",268,69
"worth",56,7
"speaking",79,20
"clever",56,6
"monk",104,0
"zossima",104,0
"visitors",48,1
"duel",21,0
"conversations",10,0
"breath",34,5
"corruption",13,0
"critical",7,0
"moment",376,62
"onion",20,0
"cana",5,0
"galilee",5,0
"mitya",923,0
"kuzma",30,0
"samsonov",48,0
"lyagavy",19,0
"goldmines",17,0
"dark",72,15
"sudden",86,6
"resolution",17,0
"coming",115,33
"first",383,57
"rightful",6,0
"lover",21,1
"delirium",16,0
"preliminary",16,0
"investigation",5,2
"beginning",64,8
"perhotin",30,0
"official",41,1
"alarm",30,5
"sufferings",17,0
"soul",164,5
"ordeal",8,1
"prosecutor",185,0
"great",329,28
"secret",97,14
"received",64,11
"evidence",136,12
"witnesses",55,0
"babe",21,0
"carry",39,2
"boys",101,0
"kolya",212,0
"krassotkin",70,0
"children",163,2
"schoolboy",14,0
"lost",86,9
"dog",73,10
"ilusha",172,0
"bedside",7,1
"ivan",718,0
"grushenka",365,0
"injured",9,2
"foot",48,4
"demon",8,0
"hymn",16,0
"interview",18,14
"visit",51,10
"last",437,109
"devil",75,3
"nightmare",9,1
"said",996,781
"xii",5,0
"error",6,2
"fatal",43,4
"day",365,34
"dangerous",12,2
"medical",12,9
"experts",9,0
"pound",13,0
"nuts",11,0
"fortune",19,3
"catastrophe",23,0
"speech",59,2
"historical",7,0
"galloping",7,0
"troika",12,0
"end",153,21
"defense",50,0
"argument",9,0
"cuts",7,0
"ways",13,5
"money",434,66
"robbery",19,3
"murder",146,37
"either",84,13
"thought",395,76
"peasants",58,0
"stand",65,8
"firm",25,4
"plans",5,0
"escape",37,6
"lie",78,8
"becomes",13,1
"truth",140,64
"funeral",12,1
"stone",45,3
"alexey",163,0
"fyodorovitch",344,0
"land",11,1
"owner",12,0
"well",429,129
"known",98,24
"district",18,0
"still",376,52
"remembered",82,6
"among",104,4
"us",438,104
"owing",18,2
"gloomy",29,0
"tragic",13,1
"death",117,36
"happened",157,11
"thirteen",8,0
"years",198,33
"ago",116,26
"shall",424,32
"describe",18,6
"proper",14,4
"place",182,35
"present",79,18
"say",568,156
"landowner",10,0
"used",152,9
"call",59,35
"although",44,2
"hardly",56,18
"spent",56,0
"life",381,28
"estate",10,1
"strange",126,7
"type",8,3
"yet",297,32
"pretty",27,11
"frequently",7,2
"met",72,22
"abject",8,0
"vicious",10,1
"time",675,115
"senseless",20,0
"persons",28,2
"capable",24,4
"looking",206,28
"worldly",10,0
"affairs",13,4
"apparently",35,3
"nothing",407,80
"else",125,31
"instance",60,14
"began",364,24
"next",95,21
"ran",175,10
"dine",7,2
"men",216,12
"tables",5,1
"fastened",8,2
"appeared",53,10
"hundred",146,10
"thousand",288,15
"roubles",190,0
"hard",37,12
"cash",5,2
"fellows",13,1
"whole",289,30
"repeat",53,1
"stupidity",6,1
"majority",8,0
"intelligent",7,0
"enough",120,36
"peculiar",34,10
"national",8,1
"form",30,0
"married",49,16
"twice",33,6
"three",442,39
"sons",14,0
"dmitri",380,0
"wife",108,12
"two",378,94
"adelaïda",14,0
"ivanovna",222,0
"belonged",8,0
"fairly",13,7
"rich",40,5
"distinguished",14,1
"noble",32,0
"also",55,25
"landowners",5,0
"came",296,109
"pass",86,6
"beauty",34,1
"moreover",20,0
"vigorous",7,0
"girls",54,9
"common",25,5
"generation",8,0
"sometimes",123,10
"found",128,50
"could",660,96
"worthless",5,2
"called",136,14
"attempt",11,3
"explain",60,12
"knew",228,43
"romantic",8,1
"enigmatic",7,0
"passion",27,0
"gentleman",41,7
"might",288,87
"quite",238,94
"easily",10,4
"invented",18,3
"ended",26,1
"throwing",13,3
"night",180,82
"rather",127,55
"deep",32,3
"rapid",21,0
"river",8,0
"high",44,4
"bank",10,0
"entirely",25,4
"satisfy",12,5
"like",666,112
"indeed",136,42
"chosen",9,0
"favorite",9,0
"spot",35,5
"less",39,7
"flat",8,1
"likely",44,16
"suicide",16,7
"would",1102,158
"never",376,88
"taken",166,28
"fact",194,37
"probably",36,11
"similar",7,2
"generations",6,0
"miüsov",79,0
"action",39,3
"doubt",97,15
"people",325,32
"ideas",48,11
"due",29,2
"irritation",12,0
"caused",13,4
"lack",12,3
"mental",8,3
"freedom",54,2
"wanted",126,28
"perhaps",405,42
"show",99,11
"feminine",10,0
"independence",5,1
"class",30,1
"imagination",13,2
"persuaded",23,4
"must",530,146
"suppose",76,30
"brief",22,0
"spite",80,10
"position",72,22
"bold",17,0
"ironical",9,0
"spirits",16,2
"though",836,61
"gave",138,43
"preceded",5,0
"greatly",35,0
"captivated",6,0
"fancy",56,15
"made",368,57
"specially",13,2
"eager",20,1
"passionately",11,0
"anxious",40,18
"way",295,85
"good",342,97
"obtain",11,0
"dowry",10,0
"mutual",6,0
"love",460,20
"exist",29,1
"bride",5,0
"case",148,45
"kind",67,54
"temper",24,1
"ready",109,8
"run",121,8
"slightest",28,0
"seems",40,30
"woman",226,35
"particular",18,12
"appeal",8,3
"senses",5,0
"immediately",65,14
"flash",7,3
"feeling",146,9
"husband",32,19
"contempt",45,0
"showed",50,13
"true",153,22
"extraordinary",50,10
"rapidity",5,0
"accepted",20,7
"event",11,1
"quickly",83,11
"lead",23,7
"everlasting",12,0
"generosity",11,0
"dignity",33,1
"got",228,98
"hold",67,14
"twentyfive",16,0
"soon",166,19
"thousands",28,0
"ever",186,31
"village",20,29
"fine",38,3
"town",206,6
"house",217,71
"formed",16,1
"utmost",24,2
"long",337,33
"name",81,30
"means",92,10
"deed",13,1
"succeeded",30,3
"merely",18,8
"moral",30,3
"desire",34,7
"get",268,49
"aroused",10,0
"persistent",10,1
"shameless",13,1
"intervened",9,0
"took",195,78
"rumor",6,0
"beat",38,1
"beaten",18,0
"impatient",14,2
"possessed",11,1
"remarkable",15,2
"physical",10,1
"strength",38,1
"finally",20,5
"left",237,67
"divinity",6,1
"student",11,0
"leaving",33,18
"child",132,19
"hands",235,22
"introduced",11,2
"regular",29,2
"abandoned",16,1
"drunkenness",11,0
"intervals",7,0
"drive",24,7
"province",18,0
"complaining",10,0
"going",259,61
"details",32,6
"disgraceful",15,1
"mention",29,5
"regard",14,2
"seemed",210,48
"play",44,11
"ridiculous",18,5
"think",281,159
"promotion",7,0
"seem",40,19
"pleased",46,8
"sorrow",20,0
"many",197,26
"even",652,34
"added",108,13
"glad",74,11
"simply",186,11
"pretended",10,0
"unaware",5,0
"knows",78,29
"simplicity",11,1
"getting",54,12
"poor",111,29
"turned",191,42
"petersburg",47,0
"gone",121,28
"thrown",20,0
"complete",49,4
"emancipation",6,0
"making",75,7
"go",621,83
"object",72,15
"really",181,67
"determined",21,3
"felt",196,30
"journey",14,0
"reckless",14,2
"drinking",25,3
"news",34,11
"died",49,16
"suddenly",585,25
"garret",8,0
"according",40,5
"story",108,32
"drunk",92,0
"heard",243,77
"street",49,4
"shouting",31,1
"joy",63,1
"raising",8,3
"heaven",66,1
